model,runs,objective_mean,objective_std,objective_min,objective_max,energy_mean,latency_mean
TABU+NONE,50,0.6539432417554503,0.0011937180622655645,0.6510065500300891,0.656073407018511,304.5136636408448,3.38306934554126
TABU+DIFFUSION,50,0.65408255995773,0.001044969442675026,0.6515185917035341,0.6558894187113322,304.4945427231901,3.3887080889064225
TABU+CPM,50,0.6545712501882157,0.003443113065034389,0.6514770090995781,0.6711198405456205,304.40321807314075,3.409907334429866
