model,runs,objective_mean,objective_std,objective_min,objective_max,energy_mean,latency_mean,gap_vs_best_mean,gap_vs_best_pct
TABU+DIFFUSION,1,8020458.28400492,0.0,8020458.28400492,8020458.28400492,3166.961109823079,0.6786405258650048,0.0,0.0
TABU+NONE,1,8309308.46495752,0.0,8309308.46495752,8309308.46495752,3223.4744257268358,0.6863477141725688,288850.1809526002,3.6014174093848204
