model,final_obj,best_obj,runtime_s,time_to_target_0_75_s
PSO+NONE,0.6656506660594199,0.6656506660594199,6.196704600995872,0.4095527270110324
PSO+CPM,0.6488811515636502,0.6488811515636502,6.771685268031433,0.4500629639951512
PSO+DIFFUSION,0.6233128956955993,0.6233128956955993,8.422758319007698,0.13437319599324837
TABU+CPM,0.5891966330749485,0.5891966330749485,26.601659236999694,1.7497408750350587
TABU+NONE,0.5878716878786818,0.5878716878786818,26.983624282001983,2.28038337896578
TABU+DIFFUSION,0.5904587247721412,0.5904587247721412,27.848242081003264,1.8556484259897843
BFO+NONE,0.6242321494612154,0.6242321494612154,34.17606084799627,5.546312669990584
BFO+CPM,0.6909041842180553,0.6909041842180553,36.04770125501091,7.931255940988194
BFO+DIFFUSION,0.6139940295024109,0.6139940295024109,44.98678233200917,2.550212274014484
