job_id,task_index,queue_delay,service_time,cpu_req,mem_req,priority,latency_ms,sample_order
6259567948,1759,42.943736,,0.0625,0.0318,1,0.0,0
6259311320,452,44.785149,72.942849,0.0625,0.0318,4,0.0,1
6260520411,1737,11.050938,,0.009064,0.04773,4,0.0,2
6255532702,600,4.477431,,0.06873,0.01193,0,0.0,3
5633031188,614,29.078364,,0.03748,0.01605,2,0.0,4
6254984728,1183,39.549053,,0.0625,0.1228,2,0.0,5
6258266572,241,34.571621,301.231984,0.02499,0.02545,4,0.0,6
6258344025,1622,43.571919,-1315.21486,0.02499,0.07959,4,0.0,7
6256895398,3,0.998085,353.710604,0.0125,0.006187,6,0.0,8
6255435217,83,1.12562,166.080991,0.006248,0.03864,2,0.0,9
6257010864,392,1.833789,,0.03125,0.009323,4,0.0,10
6221861800,2297,8.935129,,0.0125,0.0159,0,0.0,11
6255080239,649,41.630124,2098.190537,0.0625,0.0318,1,0.0,12
6238340468,740,567.054921,,0.0625,0.03961,0,0.0,13
6256870832,322,4.681875,,0.0625,0.0318,4,0.0,14
6255441089,558,2.109684,282.256359,0.02499,0.02454,2,0.0,15
6260298560,639,33.215174,-161.993773,0.0625,0.0318,4,0.0,16
6258250286,62,5.660198,495.650915,0.02499,0.03339,4,0.0,17
6256394077,1672,41.266222,,0.009079,0.04773,4,0.0,18
6257094976,95,1.715332,,0.0125,0.01251,0,0.0,19
6260389540,146,13.169227,,0.006248,0.007179,2,0.0,20
6221861800,9179,1.666364,,0.0125,0.0159,0,0.0,21
6259225956,406,7.034916,-207.908445,0.02499,0.02545,4,0.0,22
6256766261,2058,50.250419,813.925132,0.009369,0.04773,4,0.0,23
6259753510,81,4.703283,,0.03125,0.008621,4,0.0,24
6256394077,2083,47.225524,859.06768,0.009079,0.04773,4,0.0,25
6255151877,1273,45.404588,814.187335,0.02499,0.0318,2,0.0,26
6255794204,45,3.857861,205.631303,0.09998,0.02069,4,0.0,27
6255082336,563,3.677748,769.795591,0.009369,0.004929,2,0.0,28
6256303344,649,-4970.711264,,0.0625,0.03107,4,0.0,29
6260520411,1056,11.041082,,0.009064,0.04773,4,0.0,30
6256297705,15,1.729774,,0.0625,0.0159,4,0.0,31
6258931817,83,41.83455,,0.0625,0.0159,4,0.0,32
6257618996,11,2.585825,410.827437,0.03125,0.03662,0,0.0,33
6258077363,918,-1440.424956,140.410611,0.125,0.0318,4,0.0,34
6238340468,1945,-443.055809,,0.0625,0.03961,0,0.0,35
6258041270,72,24.545799,283.226752,0.0625,0.0159,4,0.0,36
6238839290,184,1.995501,,0.03125,0.02795,9,0.0,37
6221861800,11530,180.195565,,0.0125,0.0159,0,0.0,38
6257496317,1494,32.067234,731.635268,0.0625,0.0159,4,0.0,39
6258344025,752,42.12356,-1904.833242,0.02499,0.07959,4,0.0,40
6255602063,126,2.265895,30.904427,0.09998,0.02069,4,0.0,41
6259341259,197,6.681788,,0.0625,0.0318,4,0.0,42
6259423366,885,8.137878,148.02561,0.0625,0.0318,4,0.0,43
6258002219,596,35.911249,277.787225,0.02499,0.03339,4,0.0,44
6256249393,55,1.652412,124.485812,0.009369,0.007408,0,0.0,45
6255581548,10,0.875446,,0.04999,0.006104,8,0.0,46
6257104859,680,40.936195,,0.0625,0.03107,4,0.0,47
6255411069,261,4.42166,,0.0625,0.1228,2,0.0,48
6256810996,306,5.987749,,0.03125,0.1272,9,0.0,49
6257370856,43,5.068117,87.917752,0.0625,0.03107,4,0.0,50
6256951839,8,1.652274,305.168652,0.0125,0.01028,0,0.0,51
6256413498,171,36.144083,,0.0625,0.0159,4,0.0,52
6257587945,262,4.016998,,0.0625,0.03107,4,0.0,53
6255313427,16,1.906938,151.492278,0.0125,0.002533,0,0.0,54
6256734086,1169,300.218294,,0.02249,0.0575,0,0.0,55
5912313637,94,5.82576,,0.03125,0.006836,0,0.0,56
6258328788,840,33.518405,-1455.374116,0.02499,0.02545,4,0.0,57
6255441089,213,2.105028,248.94566,0.02499,0.02454,2,0.0,58
6255735278,3467,2142.408305,,0.0625,0.1228,4,0.0,59
6257372544,80,1.961217,596.513908,0.0125,0.01129,0,0.0,60
6257739890,1637,56.425944,51.433448,0.02499,0.01736,4,0.0,61
6221861800,3243,7.526135,,0.0125,0.0159,0,0.0,62
6258763286,887,41.613536,54.974615,0.02499,0.03339,4,0.0,63
6238842343,22,4.122167,,0.03125,0.02795,9,0.0,64
6255967760,342,-4532.573246,675.596179,0.05103,0.03918,4,0.0,65
6256732043,188,3.027694,,0.02563,0.0575,0,0.0,66
6256272573,319,25.54889,,0.0625,0.0159,4,0.0,67
6238340468,1155,-462.096043,,0.0625,0.03961,0,0.0,68
6257431378,28,1.635164,96.679021,0.008194,0.004227,0,0.0,69
6258162209,31,-2841.135251,614.327559,0.02499,0.02545,4,0.0,70
6257922510,0,2.303947,79.084266,0.006248,0.003109,4,0.0,71
6255136372,739,1.799148,291.198559,0.02499,0.02545,2,0.0,72
6256163373,3,1.590409,245.895837,0.0125,0.002129,0,0.0,73
6255483641,109,2.335359,290.227237,0.02499,0.01057,2,0.0,74
6257075209,171,4.692988,,0.0625,0.0159,4,0.0,75
6257745186,1016,40.937246,283.574363,0.02499,0.02121,4,0.0,76
6257149271,42,2.885588,229.477664,0.0625,0.0159,4,0.0,77
6258509145,30,2.235237,81.695543,0.006248,0.01553,4,0.0,78
6258460889,11,14.256739,267.62552,0.006248,0.001554,0,0.0,79
6260520411,2226,11.056741,,0.009064,0.04773,4,0.0,80
6258311342,99,2.001786,,0.02505,0.02704,4,0.0,81
6221861800,15154,-137.661619,,0.0125,0.0159,0,0.0,82
6258512185,503,33.592188,655.756179,0.02499,0.03339,4,0.0,83
6255298403,1660,3.040513,273.017704,0.02499,0.02545,2,0.0,84
6257669344,2727,6.473315,,0.0,0.003109,0,0.0,85
6258328788,1068,27.571799,-1288.035769,0.02499,0.02545,4,0.0,86
6257217512,0,1.674938,,0.0125,0.001972,0,0.0,87
6257428885,17,2.660183,154.240276,0.03583,0.04816,4,0.0,88
6257655536,827,4.61719,,0.02249,0.0575,0,0.0,89
6221861800,7581,78.127675,,0.0125,0.0159,0,0.0,90
6255624439,18,2.057507,69.069675,0.009369,0.00399,0,0.0,91
6260390532,35,13.175648,,0.006248,0.007179,2,0.0,92
6255151877,3315,47.159411,,0.02499,0.0318,2,0.0,93
6255281729,136,3.084627,,0.05627,0.007767,0,0.0,94
6255349259,363,2.222534,171.218842,0.0125,0.01088,0,0.0,95
6256763885,886,5.811016,1124.413949,0.01375,0.02332,4,0.0,96
6258267892,271,28.750513,558.536829,0.02499,0.03339,4,0.0,97
6260520411,1270,11.044337,,0.009064,0.04773,4,0.0,98
6256383979,140,8.503292,,0.03125,0.003109,0,0.0,99
6257882958,1906,47.513376,,0.0625,0.0318,4,0.0,100
6258360756,0,2.548254,-1927.594252,0.0625,0.003109,8,0.0,101
6258761856,16,28.947908,84.660179,0.0625,0.0318,4,0.0,102
6255518147,1596,3.357141,-883.202044,0.009369,0.0159,0,0.0,103
6256604223,1233,4.03887,-1957.926944,0.009369,0.0159,0,0.0,104
6257247154,262,1.815564,-3088.495881,0.0125,0.008606,4,0.0,105
6259152645,479,8.124157,-120.05536,0.007507,0.002487,4,0.0,106
6256763144,74,5.796997,1200.463905,0.01375,0.02332,4,0.0,107
6260704659,1129,11.346752,,0.03125,0.007767,6,0.0,108
6256704150,0,1.989103,,0.006248,0.01166,0,0.0,109
6255844009,1461,85.853933,,0.02249,0.0575,0,0.0,110
6257496317,746,37.213442,744.101128,0.0625,0.0159,4,0.0,111
6257587945,988,4.035011,,0.0625,0.03107,4,0.0,112
6255150601,766,3.364886,440.560094,0.02499,0.01706,2,0.0,113
6255494079,438,3.298997,,0.009369,0.0159,0,0.0,114
6238340468,885,-355.645197,,0.0625,0.03961,0,0.0,115
6256394077,2318,39.072482,949.424965,0.009079,0.04773,4,0.0,116
6259689627,97,3.720973,,0.0625,0.0159,4,0.0,117
6257140131,103,4.021119,377.59945,0.006248,0.01076,4,0.0,118
